Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://www.cuscoperu.com/en/useful-information/flights-trains-buses/271-english/festivities-events?start=5	200	ok	text/html	92711	Flights, Trains and Buses - Cusco Peru		5	429	4	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.771	utf-8	Information about festivities and Peru's most important events, such as the Inti Raymi, Virgen de la Candelaria, Virgen del Carmen, Mistura and anymore.
https://www.cuscoperu.com/en/useful-information/flights-trains-buses/271-english/festivities-events?start=10	200	ok	text/html	95104	Flights, Trains and Buses - Cusco Peru		5	429	4	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.984	utf-8	Information about festivities and Peru's most important events, such as the Inti Raymi, Virgen de la Candelaria, Virgen del Carmen, Mistura and anymore.
https://www.cuscoperu.com/en/useful-information/flights-trains-buses/271-english/festivities-events?start=15	200	ok	text/html	89952	Flights, Trains and Buses - Cusco Peru		5	417	4	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.802	utf-8	Information about festivities and Peru's most important events, such as the Inti Raymi, Virgen de la Candelaria, Virgen del Carmen, Mistura and anymore.
https://www.cuscoperu.com/pt/viagens/trilha-inca/399-portugues/principais-destinos?format=feed&type=rss	200	ok	application/rss+xml				6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.667	utf-8	
https://www.cuscoperu.com/pt/viagens/trilha-inca/399-portugues/principais-destinos?format=feed&type=atom	200	ok	application/atom+xml				6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.888	utf-8	
https://www.cuscoperu.com/pt/viagens/trilha-inca/400-portugues/principais-destinos/cusco	200	ok	text/html	250	                    <img src="/images/viajescusco/CasasColoniales.jpg" width="200" height="110">                  		6	1	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.348	iso-8859-1	
https://www.cuscoperu.com/pt/viagens/trilha-inca/407-portugues/principais-destinos/machu-picchu	200	ok	text/html	98346	Trilha Inca para Machu Picchu		6	408	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.823	utf-8	Informações turísticas sobre Machu Picchu, atrações, clima, hotéis, passeios e tudo que você precisa para planejar sua visita a Machu Picchu.
https://www.cuscoperu.com/pt/viagens/trilha-inca/411-portugues/principais-destinos/vale-sagrado-dos-incas	200	ok	text/html	97563	Trilha Inca para Machu Picchu		6	417	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.950	utf-8	Vale Sagrado dos Incas, com informações sobre localização, clima, altitude, as aldeias assentadas e dos sítios arqueológicos no Vale Sagrado de Cusco, no Peru
https://www.cuscoperu.com/pt/viagens/trilha-inca/414-portugues/principais-destinos/vale-sul	200	ok	text/html	97275	Trilha Inca para Machu Picchu		6	406	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.836	utf-8	Vale sul de Cusco, com suas paisagens e sítios arqueológicos importantes memoráveis, a esperança, com aldeias pitorescas e uma natureza quente da beleza.
https://www.cuscoperu.com/pt/viagens/trilha-inca/421-portugues/principais-destinos/lima	200	ok	text/html	103574	Trilha Inca para Machu Picchu		6	421	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:06.957	utf-8	Lima, a Cidade dos Reis, é a única capital americana situada em frente ao mar; Lima é populoso e está cheio de pontos turísticos e restaurantes de renome.
