Nro	URL	Title	Anchor Text	Spam Score	DA	Date First Seen	Date Crawled
41	0708hot.tk/wallpaper/upload/chamber-breakfast-in-the-valley.html		Get free high quality HD wallpapers chamber breakfast in the valley	70%	4	17/03/2018	10/08/2018
42	llanaway.co.uk/mftnsz/canv.php?sabh=recipe+peru+inca+soup	Recipe Peru Inca Soup	Cusco Peru Articles	67%	12	17/10/2017	4/08/2018
43	releasetablet.com/agua-virgen-del-camino.html	Agua Virgen Del Camino. Top Ampliar Imagen With Agua Virgen Del Camino. Fabulous Durante El Paseo Visitaremos La Ermita De La Virgen De La Soledad Para Proseguir Por La Vereda Del Camino Del Rey Un Camino Muy Para Recorrer With Agua Virgen Del Camino. Affordable El Caminante Enfila En Este Tramo Villadangos Del Pramo With Agua Virgen Del Camino. El Hospital Virgen Del Camino Incorpora El Servicio De Resonancia With Agua Virgen Del Camino With Agua Virgen Del Camino. Best Santa Maria Del Camino Canto A La Vi	.	66%	15	2/07/2018	2/07/2018
44	websitelists.in/website-list-87.html	best websites, top websites, website ranking, top 10 websites, top sites	cuscoperu.com	64%	36	18/06/2018	19/06/2018
45	websitelists.in/website-list-87.html	best websites, top websites, website ranking, top 10 websites, top sites	cuscoperu.com	64%	36	18/06/2018	19/06/2018
46	www.perufoto.com/category/ciudades-de-la-sierra-del-peru/ciudad-de-cuzco-peru/page/3/	Ciudad de Cuzco Perú | Fotografias del Peru, turismo, paisajes, costumbres, cultura y gastronomia.	Machu Picchu .	62%	2	16/08/2018	16/08/2018
47	www.perufoto.com/wayna-picchu/	Huayna Picchu montaña de la ciudad de Machupicchu	Machu Picchu .	62%	2	17/07/2018	17/07/2018
48	del.icio.us/url/b28a5a4004b142928389d5351e6798dd	http://www.cuscoperu.com/articles/travel/the-chincana-of-sacsayh	The Chincana of Sacsayhuaman [English] | CuscoPeru.com	61%	93	26/09/2016	26/09/2016
49	del.icio.us/duverneuil		http://www.cuscoperu.com/articles/travel/the-chincana-of-sacsayhuamanenglis...	61%	93	11/09/2016	26/06/2018
50	del.icio.us/duverneuil		www.cuscoperu.com	61%	93	11/09/2016	26/06/2018
51	knowledgespublisher.com/commerce/commerce-bank-visa-card	Commerce Bank Visa Card - Car Parts And Wiring Diagram Images	[no anchor text]	61%	31	11/05/2017	11/05/2017
52	www.searchdisk.de/EN/Regional/South-America/Peru/Maps-and-Views/317327.htm	Home | Regional | South America | Peru | Maps and Views	cuscoperu	61%	25	11/06/2017	22/06/2018
53	www.searchdisk.de/EN/Regional/South-America/Peru/Maps-and-Views/317327.htm	Home | Regional | South America | Peru | Maps and Views	Cuscoperu	61%	25	11/06/2017	22/06/2018
54	www.saildragonet.net/2007-Mar.html	March 2007	Cusco	60%	10	27/02/2018	31/08/2018
55	20000lieuxsurlaterre.com/destinations-perou-vallee-sacree-des-incas/	La Vallée Sacrée des Incas depuis Cusco	infos	59%	8	6/04/2018	7/07/2018
56	globe.xn--fiqs8s/the_worlds_most_visited_web_pages_154.html	The Globe - The world's most visited web pages	154495. cuscoperu.com	58%	34	25/07/2018	25/07/2018
57	globe.xn--fiqs8s/the_worlds_most_visited_web_pages_154/	The Globe - The world's most visited web pages	154495. cuscoperu.com	58%	34	27/07/2018	27/07/2018
58	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Ollataytambo	58%	20	23/10/2017	23/06/2018
59	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Pisac	58%	20	23/10/2017	23/06/2018
60	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Q‘enqo	58%	20	23/10/2017	23/06/2018
61	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	23/10/2017	23/06/2018
62	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Tambomachay	58%	20	23/10/2017	23/06/2018
63	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Sacsayhuaman	58%	20	23/10/2017	23/06/2018
64	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Pucapucara	58%	20	23/10/2017	23/06/2018
65	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Moray	58%	20	23/10/2017	23/06/2018
66	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/	Cusco y el Valle Sagrado | He Viajado	Chinchero	58%	20	23/10/2017	23/06/2018
67	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Ollataytambo	58%	20	20/05/2018	19/08/2018
68	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Pisac	58%	20	20/05/2018	19/08/2018
69	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Q‘enqo	58%	20	20/05/2018	19/08/2018
70	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	20/05/2018	19/08/2018
