------------------------------------------------------------------------
Inbound Links for,www.cuscoperu.com
Scope,pld
Sorted by,source_page_authority
Filters:,external+not_deleted
Anchor text,all
Source PLD,all
------------------------------------------------------------------------

URL,Title,Anchor Text,Spam Score,PA,DA,Linking Domains to Page,Target URL,Link Type,Link State,Date First Seen,Date Last Seen,Date Lost,HTTP Status Code,Links to Page,Outbound Domains from Page,Outbound Links from Page
en.wikipedia.org/wiki/List_of_national_liquors,List of national liquors - Wikipedia,"""Machu Picchu and Cusco Tours | Peru Vacations | CuscoPeru.com: Pisco, Salud!""",--%,67,97,99,www.cuscoperu.com/articles/tag/pisco,nofollow,active,2018-03-17,2018-06-18,--,200,297,54,71
de.wikipedia.org/wiki/Cusco,Cusco – Wikipedia,Offizielle Website über Cusco,--%,64,94,318,www.cuscoperu.com/en/,nofollow,active,2018-03-16,2018-06-16,--,200,1478,98,104
news.bbc.co.uk/2/hi/americas/6292327.stm,BBC NEWS | Americas | Bridge stirs the waters in Machu Picchu,Cusco,1%,61,95,70,www.cuscoperu.com/,follow,active,2017-04-08,2018-06-14,2017-08-14,200,114,4,4
"en.wikipedia.org/wiki/St._Jerome_Cathedral,_Ica","St. Jerome Cathedral, Ica - Wikipedia","""La Catedral de Ica""",--%,58,97,7,www.cuscoperu.com/es/viajes/ica-nazca-paracas/templos-y-santuarios/la-catedral-de-ica,nofollow,active,2018-06-06,2018-06-06,--,200,10,11,18
news.bbc.co.uk/2/hi/americas/7439397.stm,BBC NEWS | Americas | Machu Picchu ruin 'found earlier',Cuzco,1%,58,95,26,www.cuscoperu.com/,follow,active,2017-04-11,2018-06-08,2017-08-10,200,68,4,6
en.wikipedia.org/wiki/Basilica_and_Convent_of_Santo_Domingo,Basilica and Convent of Santo Domingo - Wikipedia,"""Iglesia de Santo Domingo - Lima""",--%,57,97,4,www.cuscoperu.com/es/viajes/lima/templos-y-santuarios/santo-domingo,nofollow,active,2018-07-16,2018-07-16,--,200,79,13,19
zh.wikipedia.org/wiki/%E5%BA%AB%E6%96%AF%E7%A7%91,庫斯科 - 维基百科，自由的百科全书,Cucsoperu.com,--%,57,92,121,www.cuscoperu.com/,nofollow,active,2018-03-17,2018-06-16,--,200,283,103,117
www.theguardian.com/science/2014/apr/07/search-inca-lost-city-amazon-peru-paititi,Search for Inca 'lost city' in Amazon may endanger indigenous people | Science | The Guardian,Megantoni National Sanctuary,1%,57,94,30,www.cuscoperu.com/en/travel/cusco/natural-attractions/megantoni-national-sanctuary,follow,active,2018-02-26,2018-05-29,--,200,59,11,15
www.nytimes.com/2017/05/02/travel/cuzco-peru-budget-travel.html,Cuzco Is Breathtaking (in More Ways Than One) - The New York Times,Sacsayhuaman,1%,55,95,9,www.cuscoperu.com/en/travel/cusco/archaeological-centers/sacsayhuaman,follow,active,2017-09-03,2018-08-03,--,200,23,12,12
news.bbc.co.uk/2/hi/americas/7234224.stm,BBC NEWS | Americas | Draft law sparks protests in Peru,Cuzco,1%,54,95,7,www.cuscoperu.com/,follow,active,2016-08-01,2018-08-08,--,200,16,3,3
